club_id,pretty_name,total_market_value,squad_size,average_age,foreigners_number,foreigners_percentage
1032,Fc Reading,33.66,26,25.9,12,46.2
2323,Orduspor,,0,,0,
1387,Acn Siena 1904,4.32,30,26.2,6,20.0
1071,Wigan Athletic,12.38,29,26.5,14,48.3
2703,Spartak Vladikavkaz,,1,20.0,0,
142,Real Saragossa,22.86,24,26.6,5,20.8
566,Beerschot Ac,,0,,0,
1436,Sc Beira Mar,135.0,22,27.5,9,40.9
4750,Sc Olhanense,68.0,22,24.1,9,40.9
23,Eintracht Braunschweig,6.48,27,24.9,3,11.1
2227,Sk Tavriya Simferopol,,0,,0,
12438,Volga Nizhniy Novgorod,,0,,0,
2292,Elazigspor,563.0,40,23.2,0,
1210,As Livorno,225.0,25,27.0,0,
1627,Catania Calcio,6.56,25,26.8,5,20.0
16245,Fk Sevastopol,,0,,0,
1423,Fc Valenciennes,18.41,29,25.6,11,37.9
750,Fc Sochaux Montbeliard,17.51,24,24.8,8,33.3
1411,Raec Mons,,0,,0,
5572,Niki Volou,3.4,24,28.0,6,25.0
20698,Balikesirspor,1.58,30,24.6,9,30.0
6894,Kayseri Erciyesspor,,0,,0,
1429,Cesena Fc,6.82,29,24.9,4,13.8
5220,Gs Ergotelis,3.96,30,22.2,10,33.3
2783,Metalurg Donetsk,,0,,0,
204,Lierse Sk,,0,,0,
993,Fc Cordoba,2.99,24,26.6,2,8.3
20100,Fc Vestsjaelland,,0,,0,
1039,Queens Park Rangers,35.06,28,26.5,17,60.7
3327,Fc Penafiel,4.46,27,27.5,6,22.2
14171,Thonon Evian Grand Geneve Fc,1.6,20,26.4,4,20.0
1455,Fc Dordrecht,4.1,26,22.6,11,42.3
976,Cf Uniao Madeira,,6,22.3,0,
11126,Mordovia Saransk,,0,,0,
3558,Gfc Ajaccio,585.0,22,23.9,2,9.1
6994,Metalurg Zaporizhya Bis 2016 ,,0,,0,
6996,Goverla Uzhgorod,,0,,0,
28956,Ael Kalloni,,0,,0,
4102,Carpi Fc 1909,1.24,31,22.8,6,19.4
7185,Panthrakikos Komotini,,5,26.2,3,60.0
3216,Mersin Idmanyurdu,,0,,0,
825,Eskisehirspor,1.1,21,21.2,2,9.5
6414,Metalist Kharkiv,,0,,0,
2439,Kuban Krasnodar,,0,,0,
2990,Academica Coimbra,4.91,30,26.2,12,40.0
3691,Tom Tomsk,4.96,23,25.1,2,8.7
2451,Inverness Caledonian Thistle Fc,4.3,24,24.1,7,29.2
105,Sv Darmstadt 98,15.37,27,24.8,7,25.9
4482,Volyn Lutsk,1.73,26,21.9,1,3.8
339,Dnipro Dnipropetrovsk,,0,,0,
4795,Fc Ingolstadt 04,11.68,32,25.4,12,37.5
6,Adanaspor,7.04,27,24.0,11,40.7
2079,Veria Nps,4.88,29,25.9,5,17.2
524,Gaziantepspor,,0,,0,
2921,Delfino Pescara 1936,5.38,28,24.5,6,21.4
