player_club_id,year,yellow_cards,red_cards,goals,assists,minutes_played,games_played,pretty_name
1,2020,0,0,0,0,45.0,1,
2,2014,0,0,0,0,120.0,1,
2,2015,1,0,0,0,57.0,3,
2,2016,0,0,0,1,120.0,1,
2,2017,0,0,0,1,90.0,1,
3,2014,23,1,21,17,73.43076923076923,260,1 Fc Koln
3,2015,64,2,39,32,71.65166340508806,511,1 Fc Koln
3,2016,67,1,50,44,72.97077244258872,479,1 Fc Koln
3,2017,87,0,52,41,72.330081300813,615,1 Fc Koln
3,2018,36,0,25,18,70.8125,240,1 Fc Koln
3,2019,50,2,27,19,71.5056603773585,265,1 Fc Koln
3,2020,64,1,50,44,66.16386554621849,476,1 Fc Koln
3,2021,66,0,53,44,64.14262295081967,610,1 Fc Koln
3,2022,75,1,51,40,63.5862676056338,568,1 Fc Koln
4,2015,0,0,0,2,99.25,4,1 Fc Nurnberg
4,2016,1,0,0,0,94.75,4,1 Fc Nurnberg
4,2017,0,0,0,0,32.2,5,1 Fc Nurnberg
4,2018,36,1,21,15,71.45454545454545,264,1 Fc Nurnberg
4,2019,29,2,12,12,71.47773279352226,247,1 Fc Nurnberg
5,2014,40,1,24,18,71.24886877828054,221,Ac Mailand
5,2015,107,6,63,49,71.46305418719211,609,Ac Mailand
5,2016,104,2,58,40,72.45805369127517,596,Ac Mailand
5,2017,117,3,82,57,71.22074468085107,752,Ac Mailand
5,2018,110,3,71,50,72.53352353780313,701,Ac Mailand
5,2019,107,5,46,31,71.6421052631579,570,Ac Mailand
5,2020,101,1,102,83,68.01137980085349,703,Ac Mailand
5,2021,117,4,87,67,64.38252656434474,847,Ac Mailand
5,2022,97,2,74,61,63.62354651162791,688,Ac Mailand
6,2016,40,2,13,9,72.07762557077625,219,Adanaspor
6,2017,50,0,19,10,72.41056910569105,246,Adanaspor
9,2020,0,0,0,0,38.666666666666664,3,
10,2016,0,0,0,1,53.0,1,Arminia Bielefeld
10,2018,1,0,0,1,67.5,2,Arminia Bielefeld
10,2020,23,0,8,8,67.83743842364532,203,Arminia Bielefeld
10,2021,66,2,37,33,64.7430441898527,611,Arminia Bielefeld
10,2022,25,0,12,12,64.08745247148289,263,Arminia Bielefeld
11,2014,65,2,53,41,71.18656716417911,402,Fc Arsenal
11,2015,67,1,85,69,71.82640949554896,674,Fc Arsenal
11,2016,72,2,93,75,71.144578313253,664,Fc Arsenal
11,2017,83,3,92,70,72.20165745856353,724,Fc Arsenal
11,2018,95,2,104,86,72.49804941482445,769,Fc Arsenal
11,2019,115,2,101,74,71.02102496714849,761,Fc Arsenal
11,2020,79,6,67,49,69.03479576399396,661,Fc Arsenal
11,2021,62,3,97,76,69.39760638297872,752,Fc Arsenal
11,2022,80,1,69,51,68.08896210873147,607,Fc Arsenal
12,2014,45,1,34,31,70.81107491856677,307,As Rom
12,2015,138,3,75,49,71.63498622589532,726,As Rom
12,2016,91,2,104,70,71.56656804733728,676,As Rom
12,2017,75,2,104,80,70.95675675675676,740,As Rom
12,2018,79,2,85,62,70.95915492957747,710,As Rom
12,2019,125,2,82,62,71.50625,640,As Rom
12,2020,113,3,87,70,66.5360824742268,679,As Rom
12,2021,140,1,91,71,66.6325,800,As Rom
12,2022,98,2,58,40,64.34728682170542,645,As Rom
13,2014,79,0,52,46,72.80169971671388,353,Atletico Madrid
13,2015,160,2,78,67,71.87894736842105,760,Atletico Madrid
13,2016,120,1,95,76,72.52207792207793,770,Atletico Madrid
13,2017,130,1,93,71,71.69645042839657,817,Atletico Madrid
13,2018,143,1,103,82,71.27684964200478,838,Atletico Madrid
13,2019,121,2,62,49,71.7358208955224,670,Atletico Madrid
13,2020,108,1,73,62,68.40203193033382,689,Atletico Madrid
13,2021,128,5,73,63,65.93684210526315,760,Atletico Madrid
13,2022,131,4,69,56,64.60709413369713,733,Atletico Madrid
