player_id,pretty_name,club_id,club_pretty_name,country_of_citizenship,country_of_birth,date_of_birth,position,sub_position,foot,height_in_cm,highest_market_value_in_gbp,last_season
254016,Arthur Delalande,855,Ea Guingamp,France,France,1992-05-18,Midfield,Central Midfield,Right,186.0,90000.0,2013
51053,Daniel Davari,23,Eintracht Braunschweig,Iran,Germany,1988-01-06,Goalkeeper,,Right,192.0,1130000.0,2013
31451,Torsten Oehrl,23,Eintracht Braunschweig,Germany,Germany,1986-01-07,Attack,Centre-Forward,Right,192.0,1130000.0,2013
44622,Vladimir Kisenkov,3691,Tom Tomsk,Russia,UdSSR,1981-10-08,Defender,Right-Back,Right,182.0,720000.0,2013
30802,Oscar Diaz,3302,Ud Almeria,Spain,Spain,1984-04-24,Attack,Centre-Forward,Right,183.0,1080000.0,2013
214776,Paul Mccallum,43,Heart Of Midlothian Fc,England,England,1993-07-28,Attack,Centre-Forward,Right,191.0,135000.0,2013
117549,Rodri Rios,3302,Ud Almeria,Spain,Spain,1990-06-06,Attack,Centre-Forward,Right,174.0,1800000.0,2013
186796,Hicham Khaloua,3302,Ud Almeria,Morocco,Spain,1995-05-07,Attack,Second Striker,Right,174.0,360000.0,2013
273812,Francis Kone,4750,Sc Olhanense,Togo,Cote d'Ivoire,1990-11-22,Attack,Centre-Forward,Right,189.0,225000.0,2013
243827,Olavale Fabunmi,9007,Arsenal Kiew,Ukraine,Ukraine,1992-01-18,Midfield,Left Midfield,Right,187.0,,2013
220795,Guyon Philips,1435,Go Ahead Eagles Deventer,Netherlands,Netherlands,1993-10-15,Attack,Centre-Forward,Both,193.0,180000.0,2013
9796,Oleksandr Aliyev,2700,Anzhi Makhachkala,Ukraine,UdSSR,1985-02-03,Attack,Attacking Midfield,Both,173.0,9000000.0,2013
273548,Maurice De Ruiter,1435,Go Ahead Eagles Deventer,Netherlands,Netherlands,1991-08-14,Attack,Centre-Forward,Left,186.0,45000.0,2013
90255,Frantisek Kubik,9007,Arsenal Kiew,Slovakia,CSSR,1989-03-14,Attack,Left Winger,Left,181.0,720000.0,2013
217026,Pavel Kireenko,964,Zenit St Petersburg,Russia,Russia,1994-06-14,Attack,Left Winger,Left,175.0,450000.0,2013
255431,Ilya Belous,12438,Volga Nizhniy Novgorod,Russia,Russia,1995-01-01,Attack,Centre-Forward,Right,187.0,360000.0,2013
88609,Artem Danilenko,12438,Volga Nizhniy Novgorod,Russia,UdSSR,1990-03-22,Attack,Centre-Forward,Right,182.0,270000.0,2013
130196,Yevgen Kolesnyk,9007,Arsenal Kiew,Ukraine,UdSSR,1990-01-13,Midfield,Central Midfield,Right,178.0,68000.0,2013
15379,Dmitri Bulykin,12438,Volga Nizhniy Novgorod,Russia,UdSSR,1979-11-20,Attack,Centre-Forward,,,3600000.0,2013
15117,Konstantin Zyryanov,964,Zenit St Petersburg,Russia,UdSSR,1977-10-05,Midfield,Central Midfield,Right,176.0,7920000.0,2013
232598,Mulumba Mukendi,12438,Volga Nizhniy Novgorod,DR Congo,Zaire,1985-05-27,Attack,Centre-Forward,Right,193.0,540000.0,2013
121327,Matthew Fletcher,3008,Hull City,Australia,Australia,1992-06-01,Attack,Centre-Forward,Both,181.0,135000.0,2013
96898,Alan Gatagov,2700,Anzhi Makhachkala,Russia,UdSSR,1991-01-23,Midfield,Left Midfield,Left,181.0,1800000.0,2013
104941,Gedo,3008,Hull City,Egypt,Egypt,1984-10-30,Attack,Second Striker,Right,184.0,1800000.0,2013
73566,Cameron Stewart,3008,Hull City,England,England,1991-04-08,Attack,Left Winger,Right,172.0,675000.0,2013
45631,Aaron Mclean,3008,Hull City,England,England,1983-05-25,Attack,Centre-Forward,Right,171.0,1130000.0,2013
